coordenadas,Record Count
"25.681675, -100.3077203",1
"25.682104, -100.32909",1
"25.77375798, -100.3805441",1
"25.66999892, -100.289894",1
"25.7441858, -100.3883222",1
"25.7310295, -100.3709101",1
"25.6869292, -100.3698044",1
"25.66648086, -100.278345",1
"25.7631424, -100.3833962",1
"25.73526243, -100.3986295",1
"25.68375132, -100.2804977",1
"25.74157762, -100.4057374",1
"25.696476, -100.321687",1
"25.7175688, -100.3535657",1
"25.72581726, -100.331229",1
"25.7483443, -100.3471949",1
"25.67932122, -100.3109417",1
"25.67446426, -100.3146407",1
"25.6837795, -100.2853426",1
"25.6810864, -100.3271828",1
"25.66298515, -100.3289131",1
"25.675092, -100.290008",1
"25.67108788, -100.3227625",1
"25.5923286, -100.2558459",1
"25.68497986, -100.3518426",1
"25.77332664, -100.4121784",1
"25.67186849, -100.367847",1
"25.68242802, -100.3454686",1
"25.67166289, -100.3099204",1
"25.66827529, -100.3071206",1
"25.6402324, -100.3120427",1
"25.724088, -100.355301",1
"25.67251422, -100.3224395",1
"25.68130822, -100.3290936",1
"25.71653, -100.325829",1
"25.66392019, -100.322904",1
"25.68385015, -100.2947881",1
"25.61464995, -100.2711329",1
"25.639296, -100.2881248",1
"25.67873873, -100.297594",1
"25.68350305, -100.3094658",1
"25.76341995, -100.3734464",1
"25.6191963, -100.2839923",1
"25.69178434, -100.3553251",1
"25.6868062, -100.2930531",1
"25.6723362, -100.319724",1
"25.7862574, -100.3789869",1
"25.64735052, -100.2907983",1
"25.5894813, -100.2508547",1
"25.72654855, -100.3697352",1
"25.66723915, -100.286937",1
"25.73496626, -100.3776793",1
"25.65561578, -100.3033144",1
"25.68505771, -100.3237679",1
"25.69785676, -100.2619437",1
"25.64645506, -100.3045653",1
"25.6728021, -100.3803695",1
"25.69169609, -100.3112865",1
"25.68064832, -100.3433796",1
"25.7528629, -100.3688185",1
"25.6866874, -100.3381108",1
"25.64801011, -100.3070064",1
"25.6755728, -100.3524975",1
"25.71169346, -100.3026731",1
"25.6795631, -100.3652441",1
"25.75523431, -100.3931585",1
"25.71851923, -100.3102692",1
"25.66003685, -100.317562",1
"25.7587616, -100.3876095",1
"25.7282035, -100.3710263",1
"25.7401485, -100.34743",1
